Function:Cubic
ANN Hyperparameters: activation function Null, layer arch [1, 7, 7, 1]
epoch:001 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:001 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:001 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:001 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:002 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:003 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:004 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:005 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:006 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:007 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:008 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:009 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:010 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:010 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:011 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:011 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
epoch:012 ,particle:01, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:03, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:04, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:05, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:06, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:07, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:08, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:09, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:10, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:11, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:12, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:13, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:14, par err:0.1515, best part err:0.1515, best swarm err:0.1515
epoch:012 ,particle:15, par err:0.1515, best part err:0.1515, best swarm err:0.1515

-------------------------------------------------------------------------------------
